p_names,alphas,betas,interior scores,gammas,deltas,surface scores
GJ 176 b,0.9878940265339372,0.012095973466062764,1.8900204667048328,0.9933247108882085,0.00666528911179134,2.106780492180652
GJ 667 C b,0.9853444418435094,0.014645558156490494,1.69942595851045,0.9959346573633817,0.004055342636618251,1.8085648728863695
GJ 667 C e,0.9973172825273647,0.0025432786474698602,1.3987010938751283,0.999974563244319,1.209919466026618e-05,1.3899843614412073
GJ 667 C f,0.9995422109155302,0.00044381996041904483,1.3997781261837448,0.9999253521949293,2.6523005271493545e-05,1.389961904798796
GJ 3634 b,0.9821562044329069,0.017833795567093115,1.8752915634386764,0.3150363445460292,0.6849536554539708,2.10750268350229
HD 40307 e,0.9999110937642023,7.890623579769969e-05,1.4999494268485325,0.662482108232644,0.33750789176735596,1.5369469413735644
HD 40307 f,0.9999465390522071,4.346094779222017e-05,1.5199685666004061,0.8647000932378666,0.13528990676213323,1.5244997554185002
HD 40307 g,0.9940004763033942,0.005989523696605735,1.8152716391491601,0.9997390003865364,0.0001968863609075369,1.9796225875846976
Kepler-186 f,0.9999624909801347,1.0045846957921399e-05,1.1699921297926001,0.9999664919056213,1.0516469410675563e-05,1.1199927341104656
Proxima Cen b,0.9999665653072541,1.0003492366893007e-05,1.1199945757603023,0.9999735730945662,1.0211465112003503e-05,1.0699971319854125
TRAPPIST-1 b,0.9999798259384385,1.0008088738550287e-05,1.0899937362575987,1.303370040646751e-05,0.9999616999760733,1.376717161872558
TRAPPIST-1 c,0.012188817474979805,0.9878011825250201,1.1685909628800406,0.004330542103671612,0.9956594578963283,1.2076808408659943
TRAPPIST-1 d,1.0003275424868087e-05,1.0035487025455709e-05,0.9999963281589315,1.0003984733576403e-05,0.9999622764055208,1.0152740006103658
TRAPPIST-1 e,1.0014747171461033e-05,1.0005957086555547e-05,0.9999971792666693,1.0000000010238523e-05,1.0000379157885296e-05,0.9999971292544418
TRAPPIST-1 g,0.9997729201288555,1.3758680129718316e-05,1.1299676773906466,0.9999788594920689,1.000095314211679e-05,1.0899948832182544
